Employee_ID,Name,Age,Gender,Department,Position,Date_Hired,Employment_Type,Monthly_Salary,Performance_Score,Training_Hours,Leave_Days_Taken,Overtime_Hours,Resigned
HR0001,Wendy Norman,29,Other,HR,Training Specialist,14/05/2016,Part-Time,9540,1,7,10,50,No
HR0002,Maria Salas,32,Other,HR,HR Assistant,03/02/2023,Contract,11600,5,91,17,18,Yes
HR0003,Laura Ferguson,50,Other,HR,Training Specialist,12/09/2023,Part-Time,4420,2,40,15,42,No
HR0004,Valerie Olson,50,Female,HR,HR Manager,06/02/2018,Full-Time,3780,3,87,4,34,Yes
HR0005,Selena Pham,41,Other,HR,HR Officer,08/08/2015,Contract,11030,5,89,28,19,Yes
HR0006,Kenneth Nguyen,43,Female,HR,HR Manager,06/09/2017,Contract,3040,5,63,29,47,No
HR0007,Mrs. Chloe Johnson,50,Male,HR,Training Specialist,24/02/2021,Part-Time,4320,2,2,0,13,Yes
HR0008,Jacob Sims,30,Other,HR,HR Officer,05/05/2023,Part-Time,10610,5,8,1,12,Yes
HR0009,Brendan Yu,40,Female,HR,Recruiter,24/02/2017,Part-Time,9140,1,4,0,36,Yes
HR0010,Alicia White,52,Male,HR,HR Manager,13/07/2015,Part-Time,10600,3,11,11,4,No
HR0011,Joseph Smith,32,Male,HR,Training Specialist,14/03/2023,Part-Time,10130,3,90,0,6,No
HR0012,Melissa Carter,44,Female,HR,Training Specialist,08/03/2024,Full-Time,11570,5,35,16,9,No
HR0013,Michelle Hanna,33,Female,HR,Recruiter,30/04/2024,Full-Time,3620,3,50,26,10,Yes
HR0014,Michelle Hanson,55,Female,HR,HR Assistant,02/08/2022,Part-Time,10330,4,74,24,28,Yes
HR0015,Gabriela Powers,22,Other,HR,HR Officer,06/12/2015,Contract,4480,1,8,17,36,Yes
HR0016,Timothy Quinn,24,Male,HR,HR Officer,31/01/2019,Full-Time,6410,1,51,14,36,Yes
HR0017,Aaron Randall,22,Other,HR,HR Assistant,15/08/2023,Part-Time,7770,1,48,13,14,Yes
HR0018,Peter Valdez,34,Female,HR,HR Manager,24/12/2021,Contract,8770,1,98,0,20,No
HR0019,Ryan Benjamin,45,Female,HR,HR Assistant,03/11/2024,Contract,8300,3,38,1,22,No
HR0020,Amber White,36,Other,HR,Training Specialist,02/04/2016,Part-Time,7680,1,59,7,11,Yes
HR0021,Michael Warner,48,Other,HR,HR Assistant,02/10/2017,Part-Time,4650,3,23,19,16,Yes
HR0022,Gregory Brewer,45,Male,HR,HR Officer,23/03/2017,Full-Time,3330,3,87,25,32,Yes
HR0023,Angela Oconnell,49,Female,HR,HR Officer,07/09/2017,Contract,5350,2,46,28,42,No
HR0024,Michael Chan,35,Male,HR,Recruiter,09/06/2022,Part-Time,4260,5,41,17,13,Yes
HR0025,Charles Jones,38,Female,HR,HR Officer,19/05/2015,Contract,4210,2,24,20,35,Yes
HR0026,Michelle Clarke,45,Male,HR,Training Specialist,09/12/2020,Part-Time,6380,3,94,16,11,No
HR0027,Mark Kirk,34,Male,HR,HR Assistant,22/01/2021,Full-Time,7760,5,48,18,38,No
HR0028,Victoria Rose,38,Other,HR,Training Specialist,01/10/2020,Full-Time,8300,2,50,15,39,No
HR0029,William Stewart PhD,52,Other,HR,HR Assistant,29/06/2023,Full-Time,3480,4,47,26,28,Yes
HR0030,Natasha Johns,49,Female,HR,HR Manager,08/07/2021,Full-Time,8330,1,37,27,48,Yes
HR0031,Brittany Wilson,58,Male,HR,Training Specialist,15/04/2025,Part-Time,6860,2,21,22,39,No
HR0032,Susan Francis,56,Other,HR,HR Assistant,16/12/2016,Contract,3250,3,59,24,33,Yes
HR0033,Emily Watts,35,Male,HR,Recruiter,11/11/2024,Full-Time,9810,5,51,1,5,No
HR0034,Matthew Sanchez,29,Female,HR,Recruiter,26/10/2016,Part-Time,9080,4,40,23,21,No
HR0035,Richard Lewis,36,Female,HR,HR Officer,17/04/2019,Contract,6380,5,45,7,32,No
HR0036,Lauren Thomas,58,Male,HR,HR Assistant,19/09/2024,Full-Time,11450,5,41,24,1,Yes
HR0037,Johnathan Archer,31,Male,HR,HR Manager,24/07/2023,Contract,3730,2,47,30,34,No
HR0038,Ryan Clark DDS,57,Male,HR,Training Specialist,21/12/2018,Part-Time,10390,1,42,7,0,Yes
HR0039,Taylor Morales,57,Male,HR,Recruiter,28/03/2018,Contract,3830,4,93,16,17,Yes
HR0040,Greg Ford,25,Other,HR,Recruiter,15/03/2018,Part-Time,5420,5,74,6,4,No
HR0041,Loretta Gomez,43,Female,HR,HR Manager,13/01/2021,Contract,3860,1,85,6,11,No
HR0042,Katie Hess,40,Male,HR,HR Officer,06/08/2021,Full-Time,4560,4,40,13,8,Yes
HR0043,Matthew Hernandez,36,Male,HR,HR Officer,25/08/2023,Full-Time,4100,4,85,14,45,Yes
HR0044,Christopher Ford,52,Male,HR,Recruiter,28/06/2016,Contract,3640,5,90,4,36,Yes
HR0045,Malik Trujillo,46,Female,HR,Recruiter,28/11/2023,Part-Time,5110,1,72,10,44,No
HR0046,Michelle Jones,56,Female,HR,Recruiter,21/12/2021,Part-Time,10120,4,75,17,11,Yes
HR0047,Benjamin Diaz,26,Male,HR,Training Specialist,10/05/2016,Full-Time,6180,3,39,10,28,No
HR0048,Rebecca Smith,59,Male,HR,Training Specialist,26/01/2017,Part-Time,5270,5,42,13,11,No
HR0049,Jack Wilson,60,Male,HR,HR Officer,22/05/2016,Contract,6890,5,48,1,18,No
HR0050,Anthony Zavala,23,Female,HR,HR Officer,30/11/2024,Full-Time,9260,4,87,25,36,Yes
HR0051,Anita Jensen,59,Female,HR,HR Manager,21/10/2022,Full-Time,8730,3,67,28,34,No
HR0052,Deborah Miller,45,Other,HR,HR Assistant,14/10/2018,Contract,9470,2,39,4,29,Yes
HR0053,Angela Chavez,39,Male,HR,Recruiter,29/10/2020,Part-Time,11050,3,71,4,4,No
HR0054,Kathy Miller,44,Other,HR,HR Assistant,25/03/2017,Part-Time,7560,3,81,10,18,No
HR0055,Rebecca Carson,41,Female,HR,HR Officer,26/05/2020,Part-Time,3360,2,98,21,14,No
HR0056,Michael Bautista,59,Male,HR,HR Assistant,31/08/2022,Contract,10340,4,9,19,39,No
HR0057,Stephanie Jones,58,Other,HR,HR Assistant,10/01/2020,Full-Time,9680,2,16,24,47,Yes
HR0058,George Whitaker,60,Male,HR,Training Specialist,26/07/2020,Full-Time,6660,4,70,27,25,No
HR0059,Nicholas Watkins,36,Male,HR,HR Assistant,05/12/2019,Part-Time,3780,5,79,25,10,Yes
HR0060,Chris Chavez,36,Female,HR,HR Assistant,08/01/2018,Full-Time,5370,3,43,18,8,Yes
HR0061,Cynthia Bell,32,Female,HR,HR Assistant,05/06/2017,Contract,7170,3,96,11,49,Yes
HR0062,Mary Harrison,35,Other,HR,Recruiter,09/02/2025,Part-Time,7760,4,72,23,28,Yes
HR0063,Timothy Watson,26,Female,HR,HR Assistant,01/10/2016,Contract,6790,3,35,10,33,No
HR0064,Mr. Christopher Miller,27,Female,HR,Recruiter,11/11/2020,Full-Time,6730,3,4,16,47,No
HR0065,Paul Hall,44,Male,HR,HR Officer,10/09/2018,Full-Time,9230,5,64,8,37,Yes
HR0066,Jodi Velez,43,Female,HR,HR Manager,02/04/2025,Full-Time,10190,2,19,29,49,Yes
HR0067,John Contreras,23,Other,HR,HR Officer,08/07/2021,Full-Time,7190,1,76,0,7,No
HR0068,Mark Perkins,24,Other,HR,Training Specialist,20/12/2024,Part-Time,6560,2,4,30,16,No
HR0069,Diane Pratt,32,Female,HR,Training Specialist,25/08/2017,Full-Time,3830,4,69,11,30,Yes
HR0070,Amy Price,36,Other,HR,HR Assistant,18/09/2021,Part-Time,10950,4,14,14,10,No
HR0071,Brian Solis,28,Male,HR,HR Assistant,02/03/2019,Part-Time,5850,5,64,10,39,Yes
HR0072,Paul Roberts,41,Other,HR,HR Manager,08/05/2017,Full-Time,11740,4,80,26,50,Yes
HR0073,Sean Norman MD,38,Female,HR,HR Manager,22/08/2021,Part-Time,4790,3,55,13,45,No
HR0074,Jason Reed,47,Female,HR,HR Officer,24/09/2015,Part-Time,11950,3,25,2,44,No
HR0075,Mike Mcneil,56,Other,HR,HR Officer,09/01/2021,Full-Time,4190,4,6,13,12,Yes
HR0076,Dr. Kyle Nolan,55,Male,HR,HR Officer,06/07/2021,Contract,3250,2,22,13,31,No
HR0077,Arthur Thompson,47,Other,HR,HR Manager,14/03/2023,Part-Time,7010,3,25,2,27,Yes
HR0078,Erica Greene,44,Female,HR,HR Manager,28/12/2017,Contract,8990,5,22,8,36,Yes
HR0079,Maria Nicholson,46,Female,HR,HR Assistant,08/08/2017,Contract,9930,1,75,30,24,Yes
HR0080,Ronald Carey,36,Other,HR,Training Specialist,20/10/2016,Contract,7470,3,78,19,44,Yes
HR0081,Nicholas Copeland,55,Male,HR,HR Manager,21/09/2016,Contract,10750,2,14,11,41,No
HR0082,Jennifer Rodriguez,55,Female,HR,HR Officer,13/08/2022,Part-Time,5000,4,91,20,50,Yes
HR0083,Andrew Hatfield,24,Female,HR,HR Manager,01/03/2016,Part-Time,10090,4,87,3,22,No
HR0084,Victor Snow,34,Female,HR,HR Assistant,18/01/2017,Full-Time,9550,2,64,9,43,Yes
HR0085,Anthony Munoz,51,Other,HR,Training Specialist,04/06/2018,Part-Time,7400,4,5,28,11,Yes
HR0086,Rachael Davis,57,Female,HR,HR Officer,13/02/2019,Full-Time,5310,1,64,15,18,Yes
HR0087,Mark Perez,37,Male,HR,Recruiter,30/11/2020,Full-Time,6760,1,12,11,24,No
HR0088,Donald Scott,38,Male,HR,Training Specialist,07/03/2021,Full-Time,9850,4,5,18,22,No
HR0089,Daniel Newman,49,Male,HR,Training Specialist,19/08/2016,Contract,4500,4,42,25,29,No
HR0090,Mariah Steele,46,Other,HR,HR Officer,06/01/2025,Contract,3000,4,60,0,33,Yes
